id,sentiment
12311_10,1
8348_2,0
5828_4,1
7186_2,0
12128_7,1
2913_8,1
4396_1,0
395_2,0
10616_1,1
9074_9,1
9252_3,0
9896_9,1
574_4,0
11182_8,1
11656_4,0
2322_4,0
8703_1,0
7483_1,0
6007_10,1
12424_4,0
4672_1,0
10841_3,0
8954_7,1
7392_1,0
10288_8,1
5343_4,0
4950_1,0
9257_4,0
8689_3,0
4480_2,0
9286_10,1
12245_10,1
7529_7,1
4_4,0
5299_2,0
12077_8,1
10701_2,0
11579_1,1
10993_1,0
8913_1,1
1350_3,0
3804_2,0
5025_3,0
5170_8,1
8225_8,1
6427_7,1
3165_3,0
7902_9,1
8208_3,0
3577_8,1
4865_1,0
9063_3,0
1106_1,0
1117_9,1
1050_4,0
10755_9,1
2729_8,1
10072_10,1
2904_7,1
4584_2,0
189_4,0
6302_4,0
8138_9,1
1262_1,0
2199_10,1
6551_7,1
8082_7,1
4897_8,1
7360_1,0
11012_10,1
12046_1,0
2331_2,0
8961_9,1
751_7,1
9884_10,1
10016_8,1
8023_10,1
2628_1,0
5832_1,0
7302_1,0
4501_3,1
1121_7,1
8334_3,0
9789_10,1
4230_10,1
824_4,1
6803_9,1
3086_7,1
1135_8,1
10136_1,0
11129_3,0
2072_8,0
9501_7,1
319_10,1
1693_7,1
10886_1,1
9406_8,1
10376_10,1
9902_1,0
9938_8,1
7080_9,1
11944_8,1
5249_1,1
9599_2,0
9620_1,0
11244_1,0
6841_10,1
10050_4,0
10512_9,1
11327_3,0
10681_8,1
808_3,0
546_7,1
10765_1,0
7189_9,1
6005_9,1
11915_9,1
5740_10,1
7097_10,1
9573_10,1
5084_4,0
12332_7,1
8154_1,0
5610_1,0
5323_9,1
11034_8,1
3977_2,0
12380_7,1
1737_8,1
6030_9,1
5918_7,1
7061_9,1
266_8,1
1375_10,1
8648_3,0
10146_10,1
4578_10,1
4685_8,1
11843_9,1
5467_10,1
10140_10,1
7721_8,1
11208_10,1
1063_10,1
8260_10,0
3182_9,1
2797_8,1
7613_2,0
11624_4,1
4847_10,1
10684_7,1
6312_1,0
4925_3,0
4125_1,0
2394_10,1
12105_10,1
7812_1,0
1061_8,1
9343_3,0
7696_10,1
9355_10,1
782_9,1
9882_10,1
10642_10,1
7410_2,0
9591_4,0
11902_3,0
3495_7,1
6733_1,0
4552_1,0
6722_1,0
188_10,1
5099_10,1
10313_1,0
6756_9,1
6622_2,0
4807_10,1
7173_3,0
11321_8,1
7909_9,1
8012_7,1
8615_4,0
8117_10,1
1892_10,1
4617_1,0
1893_8,1
5435_1,1
162_3,0
6516_10,1
11588_7,1
2006_1,1
1594_4,1
1472_1,0
3647_1,0
174_7,1
5539_7,1
3384_10,1
3811_4,1
4079_8,1
1179_7,1
3069_9,1
3769_8,1
9247_10,1
10434_1,0
1147_10,1
5344_7,1
8073_10,1
7833_3,0
8370_1,0
9007_8,1
6624_7,0
6683_3,0
12275_7,1
11927_8,1
1560_10,1
1325_9,0
3548_8,1
607_1,0
6702_7,1
5702_3,0
11345_8,0
3428_4,0
7209_9,1
8425_8,1
3087_1,0
1119_8,1
5715_3,0
8645_1,0
2149_3,0
10403_10,1
5628_1,0
5570_10,1
1613_3,0
1454_4,0
5094_3,0
7982_1,1
6894_2,0
6554_1,1
4721_3,0
6904_4,0
893_8,1
4605_4,0
11516_7,0
11718_7,1
5956_1,0
7455_9,1
6396_4,1
1223_8,1
8556_1,0
6108_8,1
11690_1,0
3778_9,1
3627_4,0
8256_4,0
533_1,0
5235_4,0
621_2,0
5365_1,0
8180_3,0
7396_7,1
9776_10,1
8175_10,1
3128_1,0
4606_1,0
6158_2,0
3281_10,1
4723_4,0
11994_3,0
7701_1,1
103_3,0
8908_10,1
8876_1,0
7519_9,1
12456_8,1
9514_8,1
8680_8,1
12402_10,1
362_2,0
9825_7,1
2913_3,0
7164_8,1
11177_7,1
5707_10,1
8103_10,1
6289_1,0
11754_1,0
11640_10,1
9933_7,1
185_10,1
242_10,1
9369_8,1
7453_10,1
7514_7,1
10860_2,0
8663_8,1
9108_1,0
7941_1,0
10116_1,1
9841_4,0
4512_9,1
4853_2,0
2664_4,0
9966_10,1
5167_2,0
3894_2,0
3929_8,1
7165_10,1
5451_8,1
2947_4,0
4611_10,1
5807_1,1
9464_8,1
3124_10,1
2705_4,0
12187_8,1
12319_10,1
9874_3,0
3406_4,0
2327_10,1
605_10,1
8080_4,0
3074_10,1
2499_3,0
1013_1,0
11535_1,0
4118_7,0
10492_8,1
2129_4,0
9814_10,1
10671_9,1
5980_10,1
2755_2,0
5461_2,0
11979_1,0
8810_1,0
852_7,1
10961_4,0
7436_4,0
11281_3,0
4208_3,1
8213_10,1
9851_2,0
4713_7,1
9528_1,1
3595_10,1
5785_3,0
10370_3,0
1980_3,0
8800_4,1
4437_3,0
28_3,0
12171_1,0
9359_3,0
3831_9,1
10962_7,1
1500_9,1
11470_10,1
11843_3,0
11200_4,1
1067_1,0
3333_1,0
4487_4,0
6428_1,0
575_7,1
10904_9,1
11821_2,0
11605_1,0
1111_7,1
10295_1,0
1146_4,0
2405_9,1
11081_10,1
2201_10,1
4844_1,0
11007_8,1
6535_7,1
2653_4,0
8245_10,1
9951_8,1
6133_8,1
10006_2,0
7350_1,0
4509_9,1
948_1,0
3987_1,0
2947_10,1
6041_3,0
2946_1,0
11967_4,0
1185_10,1
10323_2,0
11706_2,0
3663_1,0
5602_10,1
4870_10,1
1994_1,0
10807_7,1
6871_3,1
1175_2,0
10919_7,1
8127_10,1
12497_4,0
3274_1,1
2568_3,0
840_2,0
5626_10,1
7561_10,1
4600_3,0
3324_9,1
8899_7,1
5592_8,1
12483_4,0
7874_1,0
5878_10,1
4303_9,1
9421_1,0
10269_4,0
10615_2,0
2634_10,1
7522_1,0
9289_10,1
4636_10,1
1241_7,0
9458_9,1
11690_10,1
7176_4,0
6212_10,1
6319_1,0
5229_3,0
466_9,1
8693_2,0
2952_10,1
1128_1,0
3975_10,1
11365_10,1
2074_9,1
9768_10,1
4895_1,0
5726_10,1
9993_10,1
11319_2,0
10561_2,1
5455_8,1
10684_3,0
3652_3,0
7825_1,0
8806_1,0
275_10,1
2246_1,0
11968_2,1
2528_1,0
8491_8,1
13_1,0
4530_8,1
5207_3,0
11648_10,1
8260_1,0
10730_10,1
10402_3,0
8077_1,0
8598_8,1
2809_3,0
12490_10,1
1447_9,1
1605_3,0
2311_4,0
3235_9,1
5725_10,1
9025_10,1
6049_9,1
4803_10,1
191_9,1
420_3,0
5238_2,0
1280_9,1
9408_4,0
819_1,0
1656_4,0
9964_3,1
10404_4,0
12369_10,1
6423_1,0
9942_8,0
1519_1,0
100_10,1
3216_10,1
3909_10,1
5034_7,1
14_8,1
5891_3,0
8496_10,1
7429_1,0
9457_1,0
9602_8,1
4198_1,0
154_2,0
5070_2,0
4207_8,1
7758_8,1
4439_9,1
12042_1,0
7244_1,0
6854_1,0
11932_10,1
4151_10,1
7265_1,0
10272_7,1
4256_4,1
1225_7,1
956_10,1
6389_2,0
1365_4,0
4752_7,1
276_10,1
8766_9,1
11225_10,1
6920_1,0
11536_1,0
1923_9,1
11460_10,1
10054_7,1
10845_1,0
10231_4,1
9430_8,1
3226_2,0
4298_3,0
10635_4,0
10567_4,1
5460_10,1
7310_7,1
10330_2,1
5151_9,1
11_3,0
1448_8,1
10130_8,1
2199_3,0
1761_10,1
2782_1,0
7618_10,1
85_10,1
5730_3,0
3641_1,0
8190_9,1
9533_10,1
9508_1,0
237_8,1
3981_7,1
7194_9,1
10584_8,1
248_2,0
8358_4,0
1218_1,0
4191_10,1
3090_8,1
11923_2,0
1640_8,1
9972_3,0
11818_4,0
4350_10,1
877_10,1
10017_8,1
7975_10,1
8436_1,0
6024_7,1
3112_1,1
951_10,1
1622_1,0
191_3,0
5669_1,0
1891_4,0
12173_9,1
7887_7,1
3256_10,1
5419_1,1
7635_1,0
8297_2,0
7137_8,0
7562_3,0
9944_1,0
4288_1,0
8087_1,1
4771_10,1
10482_10,1
5324_10,1
3080_1,0
10923_7,1
1753_7,1
317_10,1
12474_8,1
773_8,1
388_1,0
12141_2,0
5667_1,0
1071_9,1
2897_10,1
9481_4,0
12025_1,0
8879_7,1
5683_1,0
7026_1,0
2439_1,0
3631_7,1
1650_9,1
5378_7,1
9745_1,0
11563_8,1
299_8,1
9471_2,0
1866_1,0
2639_4,0
5122_1,0
12341_7,0
2936_8,1
8647_10,1
4255_9,1
7262_8,0
8413_10,1
10080_1,0
3973_1,1
8752_9,1
4018_2,0
7669_1,0
10421_4,0
7854_8,1
162_8,0
11614_9,1
11343_8,1
1708_7,0
7115_4,1
10498_10,1
2944_8,1
10474_3,0
1263_1,0
1693_4,0
9600_9,1
11173_2,0
3961_2,0
8011_1,0
7386_8,1
8787_8,1
12349_9,1
1776_4,0
5885_4,1
220_4,0
5547_8,1
2853_1,0
2157_2,0
11667_2,0
194_7,1
1633_1,0
6897_2,0
11568_2,0
9219_1,0
477_8,1
8980_3,0
4612_10,1
8030_10,1
1846_8,1
2786_8,1
2634_1,0
3110_8,1
11587_8,1
11262_8,1
5680_7,1
4583_4,1
1451_1,0
4244_4,0
6176_4,0
8851_10,1
908_9,1
7494_9,1
8061_3,0
789_1,0
2374_7,1
11225_3,0
4467_4,0
8516_10,1
4121_10,1
10267_7,1
6040_8,1
8338_7,1
2903_7,1
6662_9,1
5333_10,1
7470_4,0
8813_1,0
4514_3,0
9584_7,0
11706_8,1
11538_8,0
4210_1,0
8984_1,1
3431_4,0
4973_10,1
12260_1,0
4267_10,1
9906_9,1
670_7,1
6270_3,0
5164_4,0
9741_2,0
3761_8,1
2651_2,0
7448_10,1
7184_9,1
1313_9,1
10654_8,1
7151_1,0
2320_10,1
12033_7,1
6429_1,0
1420_4,1
3002_7,1
1299_1,0
7897_9,1
1529_4,0
9760_2,0
11318_1,0
2217_3,0
11641_2,0
7238_10,1
7710_8,1
12011_8,1
4495_7,0
11144_4,0
5625_2,0
2926_7,1
8538_8,1
8875_10,1
10881_10,1
1662_7,1
4560_9,1
6714_4,0
9059_10,1
6631_10,1
8520_1,0
918_4,0
3102_10,1
3611_2,0
8434_10,1
681_7,1
7386_4,0
7566_9,1
10110_10,1
10486_10,1
1492_3,0
11823_1,0
2331_9,1
2200_2,0
9547_1,0
785_2,0
5101_4,0
5657_10,1
6902_7,1
1490_9,1
7148_9,1
7387_8,1
8277_9,1
6912_7,1
170_2,0
7702_10,1
4393_3,0
2608_3,0
4931_8,1
10589_10,1
8623_4,0
6057_2,0
2704_9,1
1790_2,1
12370_1,0
159_1,0
343_9,1
2128_9,1
11181_8,1
11775_10,1
3514_10,1
6993_2,0
2866_9,1
1000_9,1
11772_7,1
3355_9,0
8519_8,1
7879_3,0
4332_10,1
5403_1,0
1514_7,1
7904_1,0
10550_2,0
11442_10,1
2821_3,0
5766_1,0
8061_9,1
2166_1,0
6206_1,0
11124_2,0
7625_10,1
90_9,1
7959_10,1
7029_10,1
779_8,1
1101_4,0
11189_4,0
9790_4,0
10861_1,0
5902_2,0
9545_10,1
3730_1,1
4951_9,1
3295_1,0
9495_2,0
2876_1,0
2796_1,1
10338_3,0
10913_7,0
4685_2,0
11586_1,0
4904_7,1
7110_7,1
2086_4,0
7372_7,1
135_9,1
7038_3,1
1119_2,0
5057_8,1
3479_10,1
6489_8,1
4910_8,1
5979_10,1
11304_1,0
2102_9,1
8048_1,0
12153_7,1
4832_8,1
3079_9,1
8254_2,0
7981_7,1
611_1,1
307_10,1
8861_3,0
4635_4,0
6197_7,1
6739_3,0
8588_9,1
8461_7,0
10089_1,0
2609_7,1
1418_3,1
2661_10,1
1253_9,1
8815_9,1
9867_8,1
2155_1,0
12259_4,0
11224_3,0
4781_1,0
4354_9,1
9629_9,1
3629_9,1
6445_10,1
9526_10,1
5138_2,0
349_10,1
2099_7,1
4411_1,0
8127_3,0
5225_8,1
7970_3,0
